SIMPLE,"onBlockPlaced(?=[^a-zA-Z0-9])","func_85104_a"
SIMPLE,"onPostBlockPlaced","func_85105_g"
SIMPLE,"getEntityItem\\(\\)","item"
SIMPLE,"detectAndSendChanges","updateCraftingResults"
SIMPLE,"itemID","shiftedIndex"
SIMPLE,"DUNGEON_CHEST","PYRAMID_DESERT_CHEST"
SIMPLE,"setRenderBounds","setRenderMinMax"
SIMPLE,"GameRegistry\\.registerItem[^;]+;",""
SIMPLE,"GameRegistry\\.registerBlock *\\(([^,\\(\\)]+),[^,\\(\\)]+\\)","GameRegistry.registerBlock($1)"
SIMPLE,"GameRegistry\\.registerBlock *\\(([^,\\(\\)]+,[^,\\(\\)]+),[^,\\(\\)]+\\)","GameRegistry.registerBlock($1)"
SIMPLE,"net\\.minecraft\\.[a-zA-Z0-9\\. ]*\\.(?=[^,\\(\\);\\.]*)","net.minecraft.src."
SIMPLE,"net\\.minecraft\\.src\\.Minecraft(?=[^a-zA-Z0-9])","net.minecraft.client.Minecraft"
SIMPLE,"cpw\\.mods\\.fml\\.relauncher\\.SideOnly","cpw.mods.fml.common.asm.SideOnly"
SIMPLE,"cpw\\.mods\\.fml\\.relauncher\\.Side","cpw.mods.fml.common.Side"
SIMPLE,"ic2\\.api\\.energy\\.tile\\.IEnergySink","ic2.api.IEnergySink"
SIMPLE,"ic2\\.api\\.energy\\.event","ic2\\.api\\.energy"
METHOD,int,boolean,demandsEnergy,demandsEnergy
